Chrom	WindowStart	WindowEnd	tP	nSites
X	2	10000	20.074351	9219
X	10001	20000	48.474026	9497
X	20001	30000	29.456722	9642
X	30001	40000	30.390633	9903
X	40001	50000	29.244771	9999
X	50001	60000	37.091531	9997
X	60001	70000	41.618761	9572
X	70001	80000	37.345565	9979
X	80001	90000	23.283817	9999
X	90001	100000	41.482155	9979
X	100001	110000	25.252078	9999
X	110001	120000	45.294197	9994
X	120001	130000	38.144019	9999
X	130001	140000	37.144543	9999
X	140001	150000	41.135288	9999
X	150001	160000	59.587911	9979
X	160001	170000	47.004370	9999
X	170001	180000	62.464700	9999
X	180001	190000	43.004483	9995
X	190001	200000	36.013940	9999
X	200001	210000	53.319672	9978
X	210001	220000	52.300973	9997
X	220001	230000	45.586660	9999
X	230001	240000	49.677377	9999
X	240001	250000	79.710507	9999
X	250001	260000	53.464449	9999
X	260001	270000	75.446337	9999
X	270001	280000	88.475179	9999
X	280001	290000	66.075040	9999
X	290001	300000	48.889096	9999
X	300001	310000	70.691743	9706
X	310001	320000	61.666339	9999
X	320001	330000	71.424711	9999
X	330001	340000	68.004908	9999
X	340001	350000	73.715124	9977
X	350001	360000	96.648274	9928
X	360001	370000	102.420368	9972
X	370001	380000	79.368630	9977
X	380001	390000	44.900804	9999
X	390001	400000	70.455927	9634
X	400001	410000	118.897956	9783
X	410001	420000	89.543463	9979
X	420001	430000	80.950303	9999
X	430001	440000	73.810988	9999
X	440001	450000	89.071351	9999
X	450001	460000	117.013176	9999
X	460001	470000	93.506941	9999
X	470001	480000	94.571794	9999
X	480001	490000	117.197552	9999
X	490001	500000	115.813941	9991
X	500001	510000	117.177527	9999
X	510001	520000	106.612001	9999
X	520001	530000	116.894442	9991
X	530001	540000	119.009583	9999
X	540001	550000	154.005239	9662
X	550001	560000	171.938028	9999
X	560001	570000	138.250117	9999
X	570001	580000	121.566620	9999
X	580001	590000	138.905531	9965
X	590001	600000	163.057656	9780
X	600001	610000	95.874453	9841
X	610001	620000	91.361584	9939
X	620001	630000	160.723497	9896
X	630001	640000	144.632382	9999
X	640001	650000	149.006036	9999
X	650001	660000	158.607343	9623
X	660001	670000	126.861738	8908
X	670001	680000	173.004268	9990
X	680001	690000	145.758772	9999
X	690001	700000	130.979615	9999
X	700001	710000	133.989341	9231
X	710001	720000	153.776355	9849
X	720001	730000	100.257546	9999
X	730001	740000	105.711471	9998
X	740001	750000	144.472189	9989
X	750001	760000	121.794969	9224
X	760001	770000	123.065958	9999
X	770001	780000	129.242545	9851
X	780001	790000	95.200523	9536
X	790001	800000	97.223705	9541
X	800001	810000	103.633988	9999
X	810001	820000	146.768269	9999
X	820001	830000	120.650615	9999
X	830001	840000	109.904659	9999
X	840001	850000	115.734517	9985
X	850001	860000	146.056628	9897
X	860001	870000	128.941590	9999
X	870001	880000	107.875655	9949
X	880001	890000	102.052001	9999
X	890001	900000	124.221786	9981
