Chrom	WindowStart	WindowEnd	tP	nSites
X	2	10000	23.126602	9219
X	10001	20000	49.503667	9496
X	20001	30000	21.542686	9584
X	30001	40000	28.423716	9903
X	40001	50000	20.089180	9999
X	50001	60000	22.894918	9988
X	60001	70000	41.275317	9574
X	70001	80000	32.861455	9979
X	80001	90000	13.264030	9999
X	90001	100000	26.933974	9979
X	100001	110000	20.612833	9999
X	110001	120000	32.245351	9994
X	120001	130000	22.999944	9999
X	130001	140000	25.225834	9999
X	140001	150000	33.990775	9999
X	150001	160000	30.206160	9979
X	160001	170000	35.695035	9999
X	170001	180000	51.733856	9999
X	180001	190000	33.587808	9995
X	190001	200000	24.713798	9998
X	200001	210000	32.659918	9979
X	210001	220000	32.945289	9997
X	220001	230000	27.419773	9999
X	230001	240000	43.206769	9999
X	240001	250000	47.429121	9999
X	250001	260000	34.728112	9996
X	260001	270000	53.563777	9999
X	270001	280000	63.957766	9999
X	280001	290000	48.041285	9999
X	290001	300000	33.911704	9999
X	300001	310000	52.226836	9745
X	310001	320000	38.675240	9998
X	320001	330000	52.309567	9999
X	330001	340000	48.658857	9999
X	340001	350000	50.113228	9977
X	350001	360000	71.164670	9927
X	360001	370000	78.388091	9972
X	370001	380000	52.262637	9975
X	380001	390000	33.911581	9999
X	390001	400000	47.990099	9633
X	400001	410000	72.810851	9783
X	410001	420000	59.150216	9980
X	420001	430000	52.929048	9994
X	430001	440000	44.653358	9997
X	440001	450000	71.433536	9999
X	450001	460000	84.201366	9998
X	460001	470000	65.514048	9962
X	470001	480000	63.260016	9999
X	480001	490000	75.822176	9990
X	490001	500000	83.335595	9991
X	500001	510000	97.639594	9999
X	510001	520000	72.574177	9857
X	520001	530000	86.995024	9983
X	530001	540000	92.072675	9998
X	540001	550000	114.924535	9651
X	550001	560000	128.369181	9997
X	560001	570000	111.142919	9998
X	570001	580000	92.068659	9996
X	580001	590000	91.426772	9964
X	590001	600000	134.545486	9780
X	600001	610000	69.766134	9841
X	610001	620000	71.257081	9939
X	620001	630000	115.592268	9878
X	630001	640000	104.413242	9996
X	640001	650000	113.895376	9909
X	650001	660000	116.349685	9628
X	660001	670000	102.846976	8909
X	670001	680000	143.504073	9998
X	680001	690000	98.867735	9999
X	690001	700000	91.609306	9999
X	700001	710000	93.166878	9231
X	710001	720000	113.381547	9848
X	720001	730000	75.288563	9999
X	730001	740000	77.887296	9999
X	740001	750000	97.456439	9990
X	750001	760000	95.361891	9222
X	760001	770000	93.682574	9998
X	770001	780000	102.538048	9851
